Tank,Treat,Plant,Management
1,Control,Control,none 
2,Hyacinth.remove,Hyacinth,remove
3,Hyacinth,Hyacinth,none 
4,Control.Chop,Control,Chop
5,Control.Chop,Control,Chop
6,Control.Chop,Control,Chop
7,Control.Chop,Control,Chop
8,Control,Control,none 
9,Hyacinth.remove,Hyacinth,remove
10,Hyacinth,Hyacinth,none 
12,Hyacinth,Hyacinth,none 
13,Control.Chop,Control,Chop
14,Hyacinth.remove,Hyacinth,remove
15,Control,Control,none 
16,Hyacinth,Hyacinth,none 
17,Hyacinth.Chop,Hyacinth,Chop
18,Hyacinth,Hyacinth,none 
19,Control.Chop,Control,Chop
20,Hyacinth,Hyacinth,none 
21,Hyacinth.Chop,Hyacinth,Chop
22,Control,Control,none 
23,Control.Chop,Control,Chop
27,Hyacinth.remove,Hyacinth,remove
28,Control,Control,none 
29,Control,Control,none 
30,Hyacinth.Chop,Hyacinth,Chop
31,Hyacinth.remove,Hyacinth,remove
32,Hyacinth.Chop,Hyacinth,Chop
33,Hyacinth.Chop,Hyacinth,Chop
34,Hyacinth.Chop,Hyacinth,Chop
35,Control,Control,none 
36,Hyacinth.remove,Hyacinth,remove
37,Hyacinth.remove,Hyacinth,remove
38,Hyacinth,Hyacinth,none 
39,Hyacinth.remove,Hyacinth,remove
40,Hyacinth.Chop,Hyacinth,Chop
