Place,Tank,Treat,Plant.treat,Hyacinth,Chop,Manage.treat,Week,Date,Plant.mass,Cercs,Peri,,,,,,
,1,Control.none,Control,0,0,none,0,5/1/2019,NA,,,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,0,5/1/2019,NA,,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,0,5/1/2019,NA,,,,,,,,
,4,Control.chop,Control,0,1,chop,0,5/1/2019,NA,,,,,,,,
,5,Control.chop,Control,0,1,chop,0,5/1/2019,NA,,,,,,,,
,6,Control.chop,Control,0,1,chop,0,5/1/2019,NA,,,,,,,,
,7,Control.chop,Control,0,1,chop,0,5/1/2019,NA,,,,,,,,
,8,Control.none,Control,0,0,none,0,5/1/2019,NA,,,,,,,,
,9,Hyacinth.remove,Hyacinth,1,0,remove,0,5/1/2019,NA,,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,0,5/1/2019,NA,,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,0,5/1/2019,NA,,,,,,,,
,13,Control.chop,Control,0,1,chop,0,5/1/2019,NA,,,,,,,,
,14,Hyacinth.remove,Hyacinth,1,0,remove,0,5/1/2019,NA,,,,,,,,
,15,Control.none,Control,0,0,none,0,5/1/2019,NA,,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,0,5/1/2019,NA,,,,,,,,
,17,Hyacinth.chop,Hyacinth,1,1,chop,0,5/1/2019,NA,,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,0,5/1/2019,NA,,,,,,,,
,19,Control.chop,Control,0,1,chop,0,5/1/2019,NA,,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,0,5/1/2019,NA,,,,,,,,
,21,Hyacinth.chop,Hyacinth,1,1,chop,0,5/1/2019,NA,,,,,,,,
,22,Control.none,Control,0,0,none,0,5/1/2019,NA,,,,,,,,
,23,Control.chop,Control,0,1,chop,0,5/1/2019,NA,,,,,,,,
,27,Hyacinth.remove,Hyacinth,1,0,remove,0,5/1/2019,NA,,,,,,,,
,28,Control.none,Control,0,0,none,0,5/1/2019,NA,,,,,,,,
,29,Control.none,Control,0,0,none,0,5/1/2019,NA,,,,,,,,
,30,Hyacinth.chop,Hyacinth,1,1,chop,0,5/1/2019,NA,,,,,,,,
,31,Hyacinth.remove,Hyacinth,1,0,remove,0,5/1/2019,NA,,,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,0,5/1/2019,NA,,,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,0,5/1/2019,NA,,,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,0,5/1/2019,NA,,,,,,,,
,35,Control.none,Control,0,0,none,0,5/1/2019,NA,,,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,0,5/1/2019,NA,,,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,0,5/1/2019,NA,,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,0,5/1/2019,NA,,,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,0,5/1/2019,NA,,,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,0,5/1/2019,NA,,,,,,,,
,1,Control.none,Control,0,0,none,1,5/8/2019,NA,,,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,1,5/7/2019,300,,,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,1,5/7/2019,400,,,,,,,,
,4,Control.chop,Control,0,1,chop,1,5/7/2019,NA,,,,,,,,
,5,Control.chop,Control,0,1,chop,1,5/7/2019,NA,,,,,,,,
,6,Control.chop,Control,0,1,chop,1,5/7/2019,NA,,,,,,,,
,7,Control.chop,Control,0,1,chop,1,5/7/2019,NA,,,,,,,,
,8,Control.none,Control,0,0,none,1,5/8/2019,NA,,,,,,,,
,9,Hyacinth.remove,Hyacinth,1,0,remove,1,5/7/2019,400,,,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,1,5/7/2019,350,,,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,1,5/7/2019,450,,,,,,,,
,13,Control.chop,Control,0,1,chop,1,5/7/2019,NA,,,,,,,,
,14,Hyacinth.remove,Hyacinth,1,0,remove,1,5/7/2019,500,,,,,,,,
,15,Control.none,Control,0,0,none,1,5/8/2019,NA,,,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,1,5/7/2019,450,,,,,,,,
,17,Hyacinth.chop,Hyacinth,1,1,chop,1,5/8/2019,450,,,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,1,5/7/2019,450,,,,,,,,
,19,Control.chop,Control,0,1,chop,1,5/7/2019,NA,,,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,1,5/7/2019,450,,,,,,,,
,21,Hyacinth.chop,Hyacinth,1,1,chop,1,5/8/2019,500,,,,,,,,
,22,Control.none,Control,0,0,none,1,5/8/2019,NA,,,,,,,,
,23,Control.chop,Control,0,1,chop,1,5/7/2019,NA,,,,,,,,
,27,Hyacinth.remove,Hyacinth,1,0,remove,1,5/7/2019,450,,,,,,,,
,28,Control.none,Control,0,0,none,1,5/8/2019,NA,,,,,,,,
,29,Control.none,Control,0,0,none,1,5/8/2019,NA,,,,,,,,
,30,Hyacinth.chop,Hyacinth,1,1,chop,1,5/8/2019,500,,,,,,,,
,31,Hyacinth.remove,Hyacinth,1,0,remove,1,5/7/2019,450,,,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,1,5/8/2019,450,,,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,1,5/8/2019,400,,,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,1,5/8/2019,500,,,,,,,,
,35,Control.none,Control,0,0,none,1,5/8/2019,NA,,,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,1,5/7/2019,400,,,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,1,5/7/2019,400,,,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,1,5/7/2019,500,,,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,1,5/7/2019,450,,,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,1,5/8/2019,500,,,,,,,,
,1,Control.none,Control,0,0,none,2,5/15/2019,NA,,342.6,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,250,,707.7,,,,,,
,3,Hyacinth.none,Hyacinth,1,0,none,2,5/14/2019,450,,513.5,,,,,,
,4,Control.chop,Control,0,1,chop,2,5/14/2019,NA,,448.6,,,,,,
,5,Control.chop,Control,0,1,chop,2,5/14/2019,NA,,2779,,,,,,
,6,Control.chop,Control,0,1,chop,2,5/14/2019,NA,,2577,,,,,,
,7,Control.chop,Control,0,1,chop,2,5/14/2019,NA,,3111,,,,,,
,8,Control.none,Control,0,0,none,2,5/15/2019,NA,,1521,,,,,,
,9,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,400,,240,,,,,,
,10,Hyacinth.none,Hyacinth,1,0,none,2,5/14/2019,300,,866.7,,,,,,
,12,Hyacinth.none,Hyacinth,1,0,none,2,5/14/2019,350,,442.8,,,,,,
,13,Control.chop,Control,0,1,chop,2,5/14/2019,NA,,811,,,,,,
,14,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,450,,790.8,,,,,,
,15,Control.none,Control,0,0,none,2,5/15/2019,NA,,1314,,,,,,
,16,Hyacinth.none,Hyacinth,1,0,none,2,5/14/2019,450,,457.7,,,,,1 snail fell on floor- killed,"2 phots, look at date. "
,17,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,350,,426.1,,,,,,
,18,Hyacinth.none,Hyacinth,1,0,none,2,5/14/2019,300,,1454,,,,,,
,19,Control.chop,Control,0,1,chop,2,5/14/2019,NA,,2951,,,,,,
,20,Hyacinth.none,Hyacinth,1,0,none,2,5/14/2019,300,,1307,,,,,,
,21,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,500,,785.7,,,,,,
,22,Control.none,Control,0,0,none,2,5/15/2019,NA,,2064,,,,,,
,23,Control.chop,Control,0,1,chop,2,5/14/2019,NA,,670.6,,,,,,
,27,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,400,,516.7,,,,,,
,28,Control.none,Control,0,0,none,2,5/15/2019,NA,,1585,,,,,,
,29,Control.none,Control,0,0,none,2,5/15/2019,NA,,2322,,,,,,
,30,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,450,,1856,,,,,,
,31,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,350,,742.7,,,,,,
,32,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,350,,982.8,,,,,,
,33,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,350,,1075,,,,,,
,34,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,400,,215,,,,,tile was flipped ,
,35,Control.none,Control,0,0,none,2,5/15/2019,NA,,1911,,,,,,
,36,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,350,,910.9,,,,,,
,37,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,350,,781.3,,,,,,
,38,Hyacinth.none,Hyacinth,1,0,none,2,5/14/2019,450,,1342,,,,,,
,39,Hyacinth.remove,Hyacinth,1,0,remove,2,5/14/2019,450,,1705,,,,,,
,40,Hyacinth.chop,Hyacinth,1,1,chop,2,5/15/2019,400,,1701,,,,,,
,1,Control.none,Control,0,0,none,3,5/22/2019,NA,,,,,,,,
,2,Hyacinth.remove,Hyacinth,1,0,remove,3,5/21/2019,100,,,,,,,,
